fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg
Jose Torres,162.56,125.0,165.1,Orthodox,1992-08-02,8,89,1,11,0,0,0.0,0,4.37,36,9.84,50,1.28,33,75,0.0
Desmond Torres,167.64,135.0,175.26,Orthodox,1997-01-06,7,78,2,22,0,0,0.0,0,4.8,64,11.78,48,0.0,0,100,0.0
Manuel Torres,177.8,155.0,185.42,Switch,1995-03-25,15,83,3,17,0,0,0.0,0,7.17,55,4.53,52,2.26,66,88,1.1
Eduardo Torres Caut,170.18,135.0,177.8,Orthodox,1995-04-26,16,89,2,11,0,0,0.0,0,1.1,34,1.24,65,2.06,33,50,0.0
Salim Touahri,177.8,170.0,182.88,Orthodox,1989-09-28,10,71,4,29,0,0,0.0,0,2.6,46,2.87,58,0.0,0,83,0.0
Dequan Townsend,190.5,205.0,200.66,Orthodox,1986-05-11,21,64,12,36,0,0,0.0,0,1.23,34,3.92,38,0.0,0,46,0.0
Minoru Toyonaga,180.34,195.0,,Southpaw,,2,29,5,71,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Slim Trabelsi,190.5,235.0,,,1993-05-09,5,100,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Roberto Traven,190.5,227.0,,Orthodox,1968-09-16,6,55,4,36,1,9,0.0,0,0.92,50,2.77,57,0.0,0,0,0.0
Bryan Travers,,155.0,,,1983-04-11,15,79,4,21,0,0,0.0,0,2.33,48,3.93,55,2.0,28,63,0.0
Alexander Trevino,,170.0,,,,7,50,7,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Francisco Trevino,175.26,155.0,177.8,Orthodox,1981-12-17,13,81,3,19,0,0,0.0,0,2.65,42,2.42,64,0.97,22,41,0.0
Angelo Trevino,180.34,170.0,,Switch,1993-06-10,7,70,3,30,0,0,0.0,0,5.19,54,3.9,47,0.0,0,100,0.0
Frank Trigg,175.26,170.0,180.34,Southpaw,1972-05-07,21,70,9,30,0,0,0.0,0,2.79,46,1.9,56,2.35,47,75,0.8
Francisco Trinaldo,175.26,170.0,177.8,Southpaw,1978-08-24,28,76,9,24,0,0,0.0,0,3.13,45,2.67,60,0.98,42,60,0.5
Damien Trites,180.34,165.0,,,1979-08-23,7,54,6,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
